kind,layer,token,micro,start_ms,end_ms,duration_ms
weight_load,0,0,0,0.2194560021162033,0.22460800409317017,0.005152001976966858
weight_load,1,0,0,0.2804799973964691,0.2858879864215851,0.005407989025115967
compute,0,0,0,0.30687999725341797,0.38118401169776917,0.0743040144443512
weight_load,2,0,0,0.4034560024738312,0.4085119962692261,0.0050559937953948975
compute,1,0,0,0.4163520038127899,0.5701760053634644,0.15382400155067444
weight_load,3,0,0,0.6004160046577454,0.606112003326416,0.005695998668670654
compute,2,0,0,0.6136959791183472,0.7067199945449829,0.09302401542663574
weight_load,4,0,0,0.7226880192756653,0.7275199890136719,0.004831969738006592
compute,3,0,0,0.7345920205116272,0.8589760065078735,0.12438398599624634
weight_load,5,0,0,0.8893759846687317,0.8949440121650696,0.005568027496337891
compute,4,0,0,0.9032639861106873,0.988319993019104,0.08505600690841675
weight_load,6,0,0,1.0054399967193604,1.0107840299606323,0.005344033241271973
compute,5,0,0,1.018496036529541,1.14028799533844,0.12179195880889893
weight_load,7,0,0,1.168544054031372,1.1738239526748657,0.005279898643493652
compute,6,0,0,1.1812800168991089,1.2668479681015015,0.08556795120239258
weight_load,8,0,0,1.2827839851379395,1.2879999876022339,0.005216002464294434
compute,7,0,0,1.2950719594955444,1.4321600198745728,0.13708806037902832
weight_load,9,0,0,1.4604159593582153,1.4657599925994873,0.005344033241271973
compute,8,0,0,1.4731520414352417,1.5566400289535522,0.08348798751831055
weight_load,10,0,0,1.5729600191116333,1.5780479907989502,0.0050879716873168945
compute,9,0,0,1.5853760242462158,1.7209279537200928,0.13555192947387695
weight_load,11,0,0,1.7479360103607178,1.7537280321121216,0.005792021751403809
compute,10,0,0,1.7608319520950317,1.8433599472045898,0.0825279951095581
weight_load,12,0,0,1.8661760091781616,1.8714560270309448,0.005280017852783203
compute,11,0,0,1.8793599605560303,1.9883840084075928,0.1090240478515625
weight_load,13,0,0,2.0157759189605713,2.0212159156799316,0.0054399967193603516
compute,12,0,0,2.0284159183502197,2.1116480827331543,0.08323216438293457
weight_load,14,0,0,2.12774395942688,2.132672071456909,0.004928112030029297
compute,13,0,0,2.139967918395996,2.2480320930480957,0.10806417465209961
