sample,cuda_ms,wall_ms,kind,phase,group,layout,host,weight_bytes,pinned_source_live_bytes,q,past,batch,semantic
0,1.2953280210494995,1.3182694092392921,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
1,1.2527040243148804,1.262082252651453,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
2,1.261728048324585,1.2703873217105865,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
3,1.2538880109786987,1.2625837698578835,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
4,1.2549760341644287,1.2636883184313774,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
5,1.2552640438079834,1.2639728374779224,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
6,1.2778559923171997,1.286288257688284,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
7,1.2700159549713135,1.2783249840140343,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
8,1.2914559841156006,1.3017370365560055,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
9,1.2976640462875366,1.3060546480119228,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
10,1.270527958869934,1.2785028666257858,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
11,1.2448320388793945,1.2529822997748852,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
12,1.2418880462646484,1.2500169686973095,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
13,1.2537920475006104,1.2621823698282242,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
14,1.2376320362091064,1.2458870187401772,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
15,1.2447680234909058,1.2529329396784306,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
16,1.2446399927139282,1.2527680955827236,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
17,1.2406079769134521,1.248620916157961,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
18,1.247040033340454,1.254900824278593,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
19,1.2406079769134521,1.2487620115280151,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
20,1.2416640520095825,1.249722670763731,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
21,1.241536021232605,1.2498791329562664,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
22,1.2461440563201904,1.2539960443973541,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
23,1.2418559789657593,1.2500877492129803,measured,h2d,1,actual_tensors,pageable,14175744,14175744,,,,
0,1.1164480447769165,1.1297217570245266,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
1,1.113919973373413,1.1223643086850643,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
2,1.1145919561386108,1.1225403286516666,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
3,1.1139520406723022,1.121582929044962,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
4,1.1132160425186157,1.1211219243705273,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
5,1.1142079830169678,1.121841836720705,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
6,1.1144319772720337,1.1226721107959747,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
7,1.1134079694747925,1.120992936193943,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
8,1.1145600080490112,1.1226250790059566,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
9,1.1144640445709229,1.1219419538974762,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
10,1.1137280464172363,1.121773850172758,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
11,1.1134400367736816,1.120924949645996,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
12,1.1134400367736816,1.1214213445782661,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
13,1.116096019744873,1.1241231113672256,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
14,1.1193920373916626,1.1275098659098148,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
15,1.1144319772720337,1.1220169253647327,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
16,1.1133439540863037,1.1215470731258392,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
17,1.1151679754257202,1.1230427771806717,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
18,1.1212799549102783,1.1290237307548523,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
19,1.1146240234375,1.1221016757190228,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
20,1.1154240369796753,1.1229552328586578,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
21,1.1136959791183472,1.1213729158043861,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
22,1.1138559579849243,1.1221249587833881,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
23,1.1139520406723022,1.121371053159237,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
24,1.1138880252838135,1.1217431165277958,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
25,1.1157439947128296,1.1229650117456913,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
26,1.116320013999939,1.1246358044445515,measured,h2d,1,actual_tensors,pinned,14175744,14175744,,,,
0,1.2096320390701294,1.228890847414732,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
1,1.1751359701156616,1.1843657121062279,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
2,1.1721919775009155,1.1805999092757702,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
3,1.172160029411316,1.180371269583702,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
4,1.1711039543151855,1.1791707947850227,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
5,1.1708799600601196,1.1789319105446339,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
6,1.1720000505447388,1.1802660301327705,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
7,1.1698880195617676,1.17802107706666,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
8,1.169983983039856,1.1777719482779503,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
9,1.1874239444732666,1.1955080553889275,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
10,1.1712640523910522,1.1794250458478928,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
11,1.1682239770889282,1.1761896312236786,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
12,1.166592001914978,1.1742720380425453,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
13,1.1667840480804443,1.1746110394597054,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
14,1.187391996383667,1.195515040308237,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
15,1.1667840480804443,1.1746017262339592,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
16,1.1662720441818237,1.1743968352675438,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
17,1.1656960248947144,1.1981921270489693,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
18,1.1694719791412354,1.177484169602394,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
19,1.174496054649353,1.1826390400528908,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
20,1.1683520078659058,1.1760639026761055,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
21,1.1673920154571533,1.1751609854400158,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
22,1.1666879653930664,1.1744583025574684,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
23,1.1687040328979492,1.1765370145440102,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
24,1.167199969291687,1.1752457357943058,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
25,1.1665600538253784,1.1745328083634377,measured,h2d,1,contiguous_slab,pageable,14175744,14175744,,,,
0,1.1000959873199463,1.1190548539161682,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
1,1.095296025276184,1.1039539240300655,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
2,1.0965759754180908,1.1047711595892906,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
3,1.0958720445632935,1.1036829091608524,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
4,1.0962879657745361,1.1038840748369694,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
5,1.0961600542068481,1.1038281954824924,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
6,1.095136046409607,1.1032088659703732,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
7,1.0974400043487549,1.1057010851800442,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
8,1.0960320234298706,1.1037560179829597,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
9,1.0969599485397339,1.1046677827835083,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
10,1.0963200330734253,1.103685237467289,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
11,1.096127986907959,1.103400718420744,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
12,1.0968639850616455,1.1047432199120522,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
13,1.096384048461914,1.1040330864489079,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
14,1.0955519676208496,1.1031031608581543,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
15,1.096384048461914,1.1037960648536682,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
16,1.0949759483337402,1.1026682332158089,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
17,1.0974719524383545,1.1065811850130558,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
18,1.1033920049667358,1.110860612243414,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
19,1.0955519676208496,1.102964859455824,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
20,1.0968960523605347,1.104517374187708,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
21,1.0961600542068481,1.1050407774746418,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
22,1.0958720445632935,1.1032680049538612,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
23,1.0958399772644043,1.1038458906114101,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
24,1.0953919887542725,1.103198155760765,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
25,1.0968960523605347,1.1043380945920944,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
26,1.0967040061950684,1.1041359975934029,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
27,1.0967999696731567,1.1044442653656006,measured,h2d,1,contiguous_slab,pinned,14175744,28351488,,,,
0,0.15423999726772308,0.17399340867996216,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
1,0.14230400323867798,0.1526186242699623,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
2,0.13283200562000275,0.1424369402229786,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
3,0.1613759994506836,0.17239665612578392,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
4,0.1276800036430359,0.13710325583815575,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
5,0.1257600039243698,0.13479497283697128,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
6,0.12857599556446075,0.13713771477341652,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
7,0.12624000012874603,0.13474607840180397,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
8,0.12627199292182922,0.1346399076282978,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
9,0.12678399682044983,0.13582129031419754,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
10,0.1292479932308197,0.1382371410727501,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
11,0.12521600723266602,0.13422872871160507,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
12,0.1263040006160736,0.13498961925506592,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
13,0.125791996717453,0.13460498303174973,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
14,0.12508800625801086,0.13397587463259697,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
15,0.1252799928188324,0.13384781777858734,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
16,0.12383999675512314,0.13260403648018837,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
17,0.1266240030527115,0.13511395081877708,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
18,0.1250240057706833,0.13413699343800545,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
19,0.12476799637079239,0.1334957778453827,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
20,0.12515200674533844,0.13395072892308235,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
21,0.12511999905109406,0.1336820423603058,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
22,0.12601600587368011,0.13480009511113167,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
23,0.12508800625801086,0.1336471177637577,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
24,0.1289599984884262,0.13792887330055237,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
25,0.12454400211572647,0.13334210962057114,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
26,0.12540799379348755,0.1345910131931305,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
27,0.12377600371837616,0.13230321928858757,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
28,0.12540799379348755,0.1341886818408966,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
29,0.12371200323104858,0.13238657265901566,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
30,0.12521600723266602,0.13390369713306427,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
31,0.1223360002040863,0.13103196397423744,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
32,0.15356799960136414,0.16211019828915596,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
33,0.12851199507713318,0.13717589899897575,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
34,0.12495999783277512,0.1338459551334381,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
35,0.1226240023970604,0.13131694868206978,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
36,0.12303999811410904,0.13183709233999252,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
37,0.12380799651145935,0.1324489712715149,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
38,0.13920000195503235,0.147984828799963,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
39,0.13942399621009827,0.14800997450947762,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
40,0.1284160017967224,0.13742595911026,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
41,0.12377600371837616,0.13248715549707413,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
42,0.12297599762678146,0.13143988326191902,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
43,0.12185599654912949,0.13046106323599815,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
44,0.1233920007944107,0.13217702507972717,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
45,0.13436800241470337,0.14316290616989136,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
46,0.15081599354743958,0.15939213335514069,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
