node,model,dtype,blocks,first_layer,batch,query_len,past_len,semantic,weight_bytes,pinned_weight_live_bytes,two_weight_slots_bytes,h2d_cuda_p50_ms,h2d_wall_p50_ms,compute_cuda_p50_ms,compute_wall_p50_ms,h2d_GBps,copy_slowdown,compute_slowdown,overlap_speedup,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,rss_sampled_peak_bytes
A,facebook/opt-125m,float16,1,0,1,16,0,short_prefill_proxy,14175744,14175744,28351488,1.118623971939087,1.1263908818364143,0.12998400628566742,0.13904878869652748,12.672483654562626,1.0057785320883088,1.0224027548071042,1.0739961698366383,47341056,67108864,2269720576
A,facebook/opt-125m,float16,1,0,4,16,0,short_prefill_proxy,14175744,14175744,28351488,1.118623971939087,1.1263908818364143,0.14998400211334229,0.15916582196950912,12.672483654562626,1.0066081623683967,1.051845477154282,1.0968602140597485,48078336,69206016,2269720576
A,facebook/opt-125m,float16,1,0,1,32,0,short_prefill_proxy,14175744,14175744,28351488,1.118623971939087,1.1263908818364143,0.13251200318336487,0.14167814515531063,12.672483654562626,1.005664078277029,1.0123157905390134,1.0769068792233067,47586816,69206016,2269720576
A,facebook/opt-125m,float16,1,0,4,32,0,short_prefill_proxy,14175744,14175744,28351488,1.118623971939087,1.1263908818364143,0.18281599879264832,0.19202055409550667,12.672483654562626,1.0070372043090048,1.0939961726603271,1.1348770677165434,49061376,69206016,2269720576
A,facebook/opt-125m,float16,1,0,1,64,0,short_prefill_proxy,14175744,14175744,28351488,1.118623971939087,1.1263908818364143,0.14035199582576752,0.14923373237252235,12.672483654562626,1.005449557306725,1.0226858592167654,1.089918904661092,48078336,69206016,2269720576
A,facebook/opt-125m,float16,1,0,4,64,0,short_prefill_proxy,14175744,14175744,28351488,1.118623971939087,1.1263908818364143,0.19952000677585602,0.20852359011769295,12.672483654562626,1.0064937085571168,1.0754610625396905,1.1638183451555921,51027456,71303168,2269720576
A,facebook/opt-125m,float16,1,0,1,128,0,short_prefill_proxy,14175744,14175744,28351488,1.118623971939087,1.1263908818364143,0.17321600019931793,0.18264376558363438,12.672483654562626,1.0062934676712743,1.087936430567304,1.123651402597671,88391168,140509184,2270846976
A,facebook/opt-125m,float16,1,0,4,128,0,short_prefill_proxy,14175744,14175744,28351488,1.118623971939087,1.1263908818364143,0.3726080060005188,0.381821533665061,12.672483654562626,1.0088967057550233,1.0482652077759516,1.3178247095960938,63562240,142606336,2270846976
A,facebook/opt-125m,float16,1,0,1,256,0,short_prefill_proxy,14175744,14175744,28351488,1.118623971939087,1.1263908818364143,0.2035519927740097,0.21257903426885605,12.672483654562626,1.0060932267854314,1.0584813790016694,1.1682194007957083,60466688,142606336,2270846976
A,facebook/opt-125m,float16,1,0,4,256,0,short_prefill_proxy,14175744,14175744,28351488,1.118623971939087,1.1263908818364143,0.6042080223560333,0.6136386655271053,12.672483654562626,1.0096690025616766,1.02576594083701,1.5232184147756156,76917248,163577856,2270846976
