run,direction,case,model,batch,q,hidden,mode,bytes,dtype,sample,phase,e2e_ack_ms,d2h_cuda_ms,d2h_host_ms,h2d_cuda_ms,h2d_host_ms,network_host_ack_residual_ms,receiver_receive_host_ms,correct,sender_origin,receiver_origin,sender_completion_relative_ms,receiver_staging_start_relative_ms,receiver_completion_relative_ms
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,0,opt-125m,1,1,768,cpu,1536,float16,0,first_transfer,0.37523698806762695,0.0,0.0,0.0,0.0,0.37523698806762695,0.31493711471557617,True,local before background launch and D2H,local after ready ACK,0.37523698806762695,0.37728309631347656,0.3778848648071289
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,0,opt-125m,1,1,768,cpu,1536,float16,1,warmup,0.273601770401001,0.0,0.0,0.0,0.0,0.273601770401001,0.34615135192871094,True,local before background launch and D2H,local after ready ACK,0.273601770401001,0.3747239112854004,0.3754281997680664
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,0,opt-125m,1,1,768,cpu,1536,float16,2,warmup,0.18791508674621582,0.0,0.0,0.0,0.0,0.18791508674621582,0.1666398048400879,True,local before background launch and D2H,local after ready ACK,0.18791508674621582,0.1924457550048828,0.19312000274658203
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,0,opt-125m,1,1,768,cpu,1536,float16,3,warmup,0.18074393272399902,0.0,0.0,0.0,0.0,0.18074393272399902,0.15048980712890625,True,local before background launch and D2H,local after ready ACK,0.18074393272399902,0.17612791061401367,0.1767873764038086
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,0,opt-125m,1,1,768,cpu,1536,float16,4,steady,0.2221848964691162,0.0,0.0,0.0,0.0,0.2221848964691162,0.07501506805419922,True,local before background launch and D2H,local after ready ACK,0.2221848964691162,0.17648553848266602,0.1785750389099121
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,0,opt-125m,1,1,768,cpu,1536,float16,5,steady,0.18535590171813965,0.0,0.0,0.0,0.0,0.18535590171813965,0.04448413848876953,True,local before background launch and D2H,local after ready ACK,0.18535590171813965,0.1454172134399414,0.1470503807067871
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,0,opt-125m,1,1,768,cpu,1536,float16,6,steady,0.16717815399169922,0.0,0.0,0.0,0.0,0.16717815399169922,0.09330224990844727,True,local before background launch and D2H,local after ready ACK,0.16717815399169922,0.14247989654541016,0.14376401901245117
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,1,opt-125m,1,1,768,gpu,1536,float16,0,first_transfer,0.5918738842010498,0.047680001705884933,0.11943793296813965,0.011136000044643879,0.04366493225097656,0.4287710189819336,0.6023526191711426,True,local before background launch and D2H,local after ready ACK,0.5918738842010498,0.6240382194519043,0.6727137565612793
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,1,opt-125m,1,1,768,gpu,1536,float16,1,warmup,0.5463287830352783,0.04076800122857094,0.09476995468139648,0.01648000068962574,0.05435800552368164,0.3972008228302002,0.4582958221435547,True,local before background launch and D2H,local after ready ACK,0.5463287830352783,0.48372888565063477,0.5459856986999512
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,1,opt-125m,1,1,768,gpu,1536,float16,2,warmup,0.499251127243042,0.03779200091958046,0.08803081512451172,0.016224000602960587,0.053227901458740234,0.35799241065979004,0.4052257537841797,True,local before background launch and D2H,local after ready ACK,0.499251127243042,0.4165635108947754,0.4775733947753906
