direction,q,side,policy,phase,node,end,sample,warmup,correct,requested_delay_ms,local_activation_arrival_ms,activation_ack_ms,post_activation_weight_wait_ms,subsequent_compute_cuda_ms,finite_work_complete_ms,weight_bytes,weight_work_ms,activation_event_prepare_ms,activation_copy_call_ms,activation_post_call_submit_ms,activation_completion_wait_ms,activation_host_ms,activation_cuda_ms,activation_gpu_start_ms,activation_gpu_end_ms
A-B,1,none,bulk,zero,A,sender,1,False,True,0,0.4043769836425781,0.5698862075805664,0.00019693374633789062,0.35305601358413696,1.3577308654785156,0,0,0.04227256774902344,0.012240886688232422,0.0072345733642578125,0.0021581649780273438,0.06390619277954102,0.018015999346971512,0.44736000895500183,0.46537598967552185
A-B,1,none,bulk,zero,A,sender,2,False,True,0,0.3118605613708496,0.3901057243347168,0.00018310546875,0.3456000089645386,1.0767064094543457,0,0,0.03763914108276367,0.011208057403564453,0.007212162017822266,0.0026578903198242188,0.05871725082397461,0.017472000792622566,0.3498559892177582,0.3673279881477356
A-B,1,none,bulk,zero,A,sender,3,False,True,0,0.23255252838134766,0.3525562286376953,0.00019693374633789062,0.34409600496292114,0.9585895538330078,0,0,0.035114288330078125,0.010628700256347656,0.007239818572998047,0.0025491714477539062,0.055531978607177734,0.016863999888300896,0.26812800765037537,0.2849920094013214
A-B,1,none,bulk,zero,A,sender,4,False,True,0,0.22717714309692383,0.341463565826416,0.0001735687255859375,0.3423359990119934,0.9396147727966309,0,0,0.035161495208740234,0.010500431060791016,0.006867885589599609,0.002514362335205078,0.05504417419433594,0.015968000516295433,0.26291200518608093,0.2788800001144409
A-B,1,none,bulk,zero,A,sender,5,False,True,0,0.2390756607055664,0.3387484550476074,0.0001888275146484375,0.3404799997806549,0.9473447799682617,0,0,0.034175872802734375,0.010509014129638672,0.006745338439941406,0.0023827552795410156,0.05381298065185547,0.016095999628305435,0.27372801303863525,0.2898240089416504
A-B,1,none,bulk,zero,A,sender,6,False,True,0,0.2248978614807129,0.2944827079772949,0.00014495849609375,0.34137600660324097,0.8728270530700684,0,0,0.034465789794921875,0.01049184799194336,0.006819248199462891,0.00238800048828125,0.054164886474609375,0.016448000445961952,0.2593599855899811,0.2758080065250397
A-B,1,none,bulk,zero,A,sender,7,False,True,0,0.10007047653198242,0.1729140281677246,0.00021696090698242188,0.3216640055179596,0.605438232421875,0,0,0.015140056610107422,0.006000041961669922,0.005437374114990234,0.0018849372863769531,0.02846240997314453,0.010400000028312206,0.11561600118875504,0.12601600587368011
A-B,1,none,bulk,zero,A,sender,8,False,True,0,0.09590816497802734,0.16914081573486328,0.00012063980102539062,0.3197120130062103,0.595367431640625,0,0,0.015141010284423828,0.005159854888916016,0.005476474761962891,0.0018100738525390625,0.027587413787841797,0.009151999838650227,0.11155200004577637,0.12070400267839432
A-B,1,none,bulk,zero,A,sender,9,False,True,0,0.09579038619995117,0.17296981811523438,0.00013589859008789062,0.31804800033569336,0.5971136093139648,0,0,0.015513420104980469,0.004848957061767578,0.005644321441650391,0.0018181800842285156,0.027824878692626953,0.009440000168979168,0.11142399907112122,0.12086399644613266
A-B,1,none,bulk,zero,A,sender,10,False,True,0,0.0940546989440918,0.1945343017578125,0.00010633468627929688,0.31516799330711365,0.6143708229064941,0,0,0.01434469223022461,0.008894920349121094,0.005827426910400391,0.002010822296142578,0.031077861785888672,0.013632000423967838,0.10860799998044968,0.12223999947309494
A-B,1,none,bulk,zero,B,receiver,1,False,True,0,0.5401301383972168,,0.0001957416534423828,0.3447999954223633,0.9860060214996338,0,0,0.04747605323791504,0.012228965759277344,0.007534027099609375,0.002068042755126953,0.06930708885192871,0.01724799908697605,0.589568018913269,0.6068159937858582
A-B,1,none,bulk,zero,B,receiver,2,False,True,0,0.37557411193847656,,0.0001621246337890625,0.3404799997806549,0.8050210475921631,0,0,0.037384033203125,0.01119375228881836,0.0072209835052490234,0.0020961761474609375,0.05789494514465332,0.017055999487638474,0.41446399688720703,0.4315199851989746
A-B,1,none,bulk,zero,B,receiver,3,False,True,0,0.293226957321167,,0.00016999244689941406,0.34275200963020325,0.7254610061645508,0,0,0.03779172897338867,0.011218070983886719,0.007043123245239258,0.002440929412841797,0.058493852615356445,0.017184000462293625,0.3323200047016144,0.3495039939880371
A-B,1,none,bulk,zero,B,receiver,4,False,True,0,0.28679895401000977,,0.0001659393310546875,0.3415679931640625,0.7165119647979736,0,0,0.0370790958404541,0.011075019836425781,0.007002115249633789,0.0022668838500976562,0.05742311477661133,0.016767999157309532,0.32553601264953613,0.342303991317749
A-B,1,none,bulk,zero,B,receiver,5,False,True,0,0.28816699981689453,,0.00016307830810546875,0.34406399726867676,0.7243790626525879,0,0,0.0379488468170166,0.011057138442993164,0.009930849075317383,0.002080202102661133,0.06101703643798828,0.017023999243974686,0.32758399844169617,0.34460800886154175
A-B,1,none,bulk,zero,B,receiver,6,False,True,0,0.28735923767089844,,0.00019097328186035156,0.3359360098838806,0.7113893032073975,0,0,0.03719305992126465,0.01107168197631836,0.007133007049560547,0.0022940635681152344,0.05769181251525879,0.017216000705957413,0.32582399249076843,0.34303998947143555
A-B,1,none,bulk,zero,B,receiver,7,False,True,0,0.141862154006958,,0.00013494491577148438,0.3214080035686493,0.5135488510131836,0,0,0.017664670944213867,0.005166053771972656,0.0059239864349365234,0.0018401145935058594,0.030594825744628906,0.0098879998549819,0.1600639969110489,0.16995200514793396
A-B,1,none,bulk,zero,B,receiver,8,False,True,0,0.13685393333435059,,0.00016307830810546875,0.32227200269699097,0.5092260837554932,0,0,0.01739788055419922,0.004965066909790039,0.0062389373779296875,0.0016222000122070312,0.030224084854125977,0.0098879998549819,0.15481600165367126,0.16470399498939514
A-B,1,none,bulk,zero,B,receiver,9,False,True,0,0.13663005828857422,,0.00015306472778320312,0.3193280100822449,0.510228157043457,0,0,0.02083897590637207,0.005427837371826172,0.006452322006225586,0.0017938613891601562,0.034512996673583984,0.010528000071644783,0.15807999670505524,0.16860799491405487
A-B,1,none,bulk,zero,B,receiver,10,False,True,0,0.1401071548461914,,0.00011801719665527344,0.3256959915161133,0.5382859706878662,0,0,0.03220105171203613,0.009493112564086914,0.007727861404418945,0.0016739368438720703,0.05109596252441406,0.031136000528931618,0.15769599378108978,0.18883199989795685
A-B,1,sender,bulk,zero,A,sender,1,False,True,0,0.7830276489257812,1.0742526054382324,14.11504077911377,0.4104959964752197,16.434152126312256,201433088,15.774885654449463,0.0372004508972168,0.011691570281982422,0.007166862487792969,0.08225297927856445,0.13831186294555664,0.002655999967828393,0.8399360179901123,0.8425920009613037
A-B,1,sender,bulk,zero,A,sender,2,False,True,0,0.706230640411377,0.9530768394470215,14.280084133148193,0.6731839776039124,16.66000986099243,201433088,15.784111499786377,0.059668540954589844,0.01785755157470703,0.09492778778076172,0.005250453948974609,0.1777043342590332,0.03379200026392937,0.7839040160179138,0.8176959753036499
