model,direction,batch,q,policy,best_continuous_cut,best_C1_ms,balanced_C1_ms,R1_ms,best_C1_over_R1,balanced_C1_over_R1
opt-125m,A-B,1,32,priority,2,63.49369239807129,63.49369239807129,78.86577892303467,0.8050854662836078,0.8050854662836078
opt-125m,A-B,1,32,window2,2,58.01769399642944,58.01769399642944,82.17045783996582,0.7060651178240237,0.7060651178240237
opt-125m,A-B,1,128,priority,2,38.39799404144287,38.39799404144287,75.5206880569458,0.5084433819311757,0.5084433819311757
opt-125m,A-B,1,128,window2,2,30.957983016967773,30.957983016967773,44.58643388748169,0.6943363780806809,0.6943363780806809
opt-125m,A-B,4,256,priority,2,52.6763482093811,52.6763482093811,96.83356237411499,0.543988539901763,0.543988539901763
opt-125m,A-B,4,256,window2,2,44.5193510055542,44.5193510055542,86.29542446136475,0.515894687156744,0.515894687156744
opt-125m,B-A,1,32,priority,3,104.60545325279236,140.91899728775024,145.29366302490234,0.7199588135847583,0.9698908703512946
opt-125m,B-A,1,32,window2,3,59.41364884376526,119.18339991569519,89.9039659500122,0.6608568177826553,1.3256745534670042
opt-125m,B-A,1,128,priority,3,60.42060089111328,73.30780100822449,81.97511410713196,0.7370602840778064,0.8942689718299105
opt-125m,B-A,1,128,window2,3,28.828694820404053,32.52250099182129,47.450013875961304,0.6075592495244556,0.6854055106672486
opt-125m,B-A,4,256,priority,3,69.2887589931488,76.38437294960022,96.67919397354126,0.7166873878997321,0.7900807796401856
opt-125m,B-A,4,256,window2,2,50.60542583465576,50.60542583465576,74.02480411529541,0.6836279601069474,0.6836279601069474
