run,stage,model,direction,batch,q,steps,arm,cut,policy,sample,e2e_ms,prefill_ms,decode_mean_ms,first_errors,last_errors
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,Cresident,2,priority,1,78.89698553085327,11.680556774139404,9.598006861550468,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,Cresident,2,priority,2,76.8459963798523,10.958420276641846,9.408857004983085,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,Cresident,2,priority,3,74.29176759719849,10.654973030090332,9.087763581957136,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,Rresident,2,priority,1,80.9878396987915,12.761614799499512,9.743925639561244,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,Rresident,2,priority,2,78.4676022529602,11.452919960021973,9.571804250989642,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,Rresident,2,priority,3,80.50478410720825,12.279780864715576,9.74404798235212,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C0,2,window2,1,1220.1997547149658,152.89819383621216,152.21679360525948,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C0,2,window2,2,1222.2420778274536,152.7327904701233,152.50370836257935,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C0,2,window2,3,1222.3796091079712,152.81325960159302,152.5217789241246,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,R0,2,window2,1,1246.3970861434937,156.54288530349731,155.49396998541695,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,R0,2,window2,2,1246.9824800491333,156.78617238998413,155.5372005190168,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,R0,2,window2,3,1249.0398149490356,157.95870542526245,155.68220703942436,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,1,priority,1,640.2394504547119,82.63533687591553,79.31834936141968,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,1,priority,2,638.6008267402649,81.9932050704956,79.18755238396781,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,1,priority,3,638.8213806152344,81.98293924331665,79.22004406792777,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,2,priority,1,773.3444085121155,108.17230129241943,94.75438390459333,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,2,priority,2,774.4413890838623,107.56425714492798,95.01407112394061,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,2,priority,3,775.4961643218994,108.33080816268921,94.78706427982875,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,3,priority,1,1149.0365290641785,153.52469682693481,141.98515721729822,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,3,priority,2,1149.2010869979858,152.17473125457764,142.15180383409773,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,3,priority,3,1148.313537120819,153.37233209609985,141.8808994293213,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,R1,2,priority,1,775.7499585151672,101.73516750335693,96.08328417369297,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,R1,2,priority,2,773.7034149169922,102.06810998916626,95.75639268330166,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,R1,2,priority,3,772.7658982276917,101.47729682922363,95.68485062462943,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,1,window2,1,620.0777721405029,80.81297874450684,76.7246788569859,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,1,window2,2,620.9439220428467,81.01700830459595,76.80115570340838,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,1,window2,3,619.2996459007263,80.4272403717041,76.68271882193429,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,2,window2,1,760.5044631958008,107.50426483154297,93.1534196308681,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,2,window2,2,759.8330426216125,112.54864358901978,92.33169630595616,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,2,window2,3,762.2198104858398,106.62754106521606,93.42495489120483,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,3,window2,1,1133.7994437217712,150.45775079727173,140.0323760168893,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,3,window2,2,1134.2256751060486,150.25168800354004,139.89178017207556,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-13b-a-b-02,t3,opt-1.3b,A-B,1,32,8,C1,3,window2,3,1131.2732372283936,150.89722299575806,139.81234863826208,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
