run,stage,model,direction,batch,q,steps,arm,cut,policy,sample,e2e_ms,prefill_ms,decode_mean_ms,first_errors,last_errors
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,C1,1,bulk,1,317.6926317214966,87.17601585388184,76.63447189331055,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,C1,1,bulk,2,317.37330436706543,86.5347809791565,76.65145444869995,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,C1,1,bulk,3,317.46776390075684,86.62162208557129,76.6964939435323,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,C1,1,window2,1,316.558895111084,84.52621459960938,76.78263727823894,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,C1,1,window2,2,315.54417085647583,83.88049411773682,76.68477646509807,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,C1,1,window2,3,315.0130796432495,83.84083032608032,76.59359041849773,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,C1,1,priority,1,324.994647026062,85.52016544342041,79.2998898824056,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,C1,1,priority,2,324.52844619750977,85.14226293563843,79.31344890594482,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,C1,1,priority,3,324.34286403656006,85.51102828979492,79.09950812657674,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,R1,2,bulk,1,385.85545110702515,150.9821171760559,78.17188676198323,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,R1,2,bulk,2,385.48668479919434,150.79748678207397,78.11866315205891,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,R1,2,bulk,3,386.7310185432434,151.44465017318726,78.30560763676961,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,R1,2,window2,1,381.80382776260376,149.75264596939087,77.03062009811401,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,R1,2,window2,2,382.1839442253113,149.81815147399902,77.15451685587566,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,R1,2,window2,3,382.88967990875244,149.3068060874939,77.56432978312175,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,R1,2,priority,1,394.3529987335205,105.29415845870972,95.90593242645264,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,R1,2,priority,2,392.2538900375366,104.84480810165405,95.60619195302327,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,R1,2,priority,3,392.29306077957153,104.464608669281,95.77773062388103,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,C1,3,bulk,1,308.60798382759094,95.5014591217041,70.92550031344096,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,C1,3,bulk,2,308.073410987854,98.01228094100952,69.95401255289714,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,C1,3,bulk,3,308.3612768650055,96.02696371078491,70.71303900082906,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,C1,3,window2,1,311.582417011261,97.09784126281738,71.28374608357747,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,C1,3,window2,2,311.5555510520935,97.15455222129822,71.25792980194092,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,C1,3,window2,3,311.7924439907074,97.08924698829651,71.37529102961223,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,C1,3,priority,1,325.48756074905396,86.67080402374268,79.38402462005615,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,C1,3,priority,2,324.1674461364746,87.18940377235413,78.55362979571025,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,C1,3,priority,3,324.7941129207611,87.60613822937012,78.44856492678325,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,R1,2,bulk,1,399.4986209869385,145.6171727180481,84.43294167518616,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,R1,2,bulk,2,398.71620631217957,145.46487712860107,84.20542788505554,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,R1,2,bulk,3,398.57864689826965,145.20646810531616,84.23248132069905,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,R1,2,window2,1,398.8402819633484,142.88275980949402,84.81063493092854,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,R1,2,window2,2,397.48927903175354,142.8395130634308,84.39653166135152,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,R1,2,window2,3,394.48479294776917,142.60338592529297,83.45688263575236,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,R1,2,priority,1,391.4126558303833,98.57262110710144,96.89701978365581,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,R1,2,priority,2,389.7748131752014,98.13017797470093,96.53639268875122,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,R1,2,priority,3,391.08372592926025,98.33863997459412,96.84169602394104,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
