model,direction,batch,q,policy,best_continuous_cut,best_C1_ms,balanced_C1_ms,R1_ms,best_C1_over_R1,balanced_C1_over_R1
opt-1.3b,A-B,1,32,priority,1,638.8213806152344,774.4413890838623,773.7034149169922,0.8256670040467265,1.000953820485527
opt-1.3b,A-B,1,32,window2,1,620.0777721405029,760.5044631958008,755.7301750183105,0.8205015396209091,1.006317450771864
opt-1.3b,A-B,1,128,priority,1,325.0096459388733,393.90767669677734,394.1359362602234,0.8246130739123714,0.9994208608187015
opt-1.3b,A-B,1,128,window2,1,316.1441316604614,388.2914628982544,382.90499353408813,0.8256464057638796,1.0140673782142429
opt-1.3b,A-B,4,256,priority,1,387.76758575439453,410.3640570640564,425.92398166656494,0.9104150093571365,0.9634678363457598
opt-1.3b,A-B,4,256,window2,1,378.093017578125,388.4585690498352,403.9830689430237,0.9359130286508366,0.961571409579598
opt-1.3b,B-A,1,32,priority,3,636.0533907413483,772.7348868846893,776.1554551124573,0.8194922635043393,0.9955929341148902
opt-1.3b,B-A,1,32,window2,3,617.8883142471313,760.2230780124664,783.8789060115814,0.7882445993999007,0.9698220888230338
opt-1.3b,B-A,1,128,priority,3,322.8170258998871,388.01536893844604,390.81490993499756,0.8260100054872005,0.9928366576469225
opt-1.3b,B-A,1,128,window2,3,312.001305103302,384.340194940567,398.277969121933,0.7833757558600553,0.965004907973961
opt-1.3b,B-A,4,256,priority,3,339.6774501800537,419.9150722026825,426.0429711341858,0.7972844834777698,0.985616711583834
opt-1.3b,B-A,4,256,window2,3,320.73915100097656,419.2520809173584,439.04248094558716,0.730542407445824,0.9549237240423633
opt-125m,A-B,1,32,priority,2,59.97001123428345,59.97001123428345,60.12252140045166,0.9974633438083476,0.9974633438083476
opt-125m,A-B,1,32,window2,2,59.77440118789673,59.77440118789673,76.90014696121216,0.7772989200923957,0.7772989200923957
opt-125m,A-B,1,128,priority,2,31.81553316116333,31.81553316116333,31.29303789138794,1.0166968535170304,1.0166968535170304
opt-125m,A-B,1,128,window2,2,32.73995304107666,32.73995304107666,38.28498888015747,0.8551642301258517,0.8551642301258517
opt-125m,A-B,4,256,priority,2,41.617218017578125,41.617218017578125,81.02732706069946,0.5136195346343054,0.5136195346343054
opt-125m,A-B,4,256,window2,2,40.79659986495972,40.79659986495972,79.6030740737915,0.5125003065477289,0.5125003065477289
opt-125m,B-A,1,32,priority,3,53.95177698135376,63.19291400909424,66.85495209693909,0.8069974667414938,0.9452241311528438
opt-125m,B-A,1,32,window2,2,62.262266874313354,62.262266874313354,87.91630506515503,0.7081993132920066,0.7081993132920066
opt-125m,B-A,1,128,priority,3,26.522344827651978,32.307045221328735,32.34863209724426,0.8198907684232923,0.9987144162451596
opt-125m,B-A,1,128,window2,3,28.097005128860474,32.34340691566467,48.25754189491272,0.5822303421513984,0.6702249150215066
opt-125m,B-A,4,256,priority,2,52.97455883026123,52.97455883026123,68.17186427116394,0.7770736416939822,0.7770736416939822
opt-125m,B-A,4,256,window2,2,50.939091205596924,50.939091205596924,69.07483386993408,0.7374479003672127,0.7374479003672127
